Name;Version;Publisher;Install Date & Time;Uninstall;Registry Hive;Registry Path
Adobe InDesign CC 2018;13.0.1;Adobe Systems Incorporated;16/11/2018 12:00;"""C:\Program Files (x86)\Adobe\Adobe Creative Cloud\HDCore\Uninstaller.exe"" --uninstall=1 --sapCode=IDSN --productVersion=13.0.1 --productPlatform=win64 --productAdobeCode={IDSN-13.0.1-64-ADBEADBEADBEADBEADBEA} --productName=""InDesign CC"" --mode=0";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IDSN_13_0_1
Adobe Lightroom Classic CC;7.0.1;Adobe Systems Incorporated;16/11/2018 12:01;"""C:\Program Files (x86)\Adobe\Adobe Creative Cloud\HDCore\Uninstaller.exe"" --uninstall=1 --sapCode=LTRM --productVersion=7.0.1 --productPlatform=win64 --productAdobeCode={LTRM-7.0.1-64-ADBEADBEADBEADBEADBEAD} --productName=""Lightroom Classic CC"" --mode=0";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\LTRM_7_0_1
Adobe Media Encoder CC 2018;12.0.0;Adobe Systems Incorporated;16/11/2018 11:56;"""C:\Program Files (x86)\Adobe\Adobe Creative Cloud\HDCore\Uninstaller.exe"" --uninstall=1 --sapCode=AME --productVersion=12.0.0 --productPlatform=win64 --productAdobeCode={AME-12.0.0-64-ADBEADBEADBEADBEADBEAD} --productName=""Media Encoder CC"" --mode=0";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\AME_12_0_0
Adobe Muse CC 2018;2018.0.0.685;Adobe Systems Incorporated;16/11/2018 12:02;"""C:\Program Files (x86)\Adobe\Adobe Creative Cloud\HDCore\Uninstaller.exe"" --uninstall=1 --sapCode=MUSE --productVersion=2018.0 --productPlatform=win64 --productAdobeCode={MUSE-2018.0-64-ADBEADBEADBEADBEADBEA} --productName=""Muse CC"" --mode=0";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\MUSE_2018_0
Adobe Photoshop CC 2018;19.0.1;Adobe Systems Incorporated;16/11/2018 12:03;"""C:\Program Files (x86)\Adobe\Adobe Creative Cloud\HDCore\Uninstaller.exe"" --uninstall=1 --sapCode=PHSP --productVersion=19.0.1 --productPlatform=win64 --productAdobeCode={PHSP-19.0.1-64-ADBEADBEADBEADBEADBEA} --productName=""Photoshop CC"" --mode=0";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\PHSP_19_0_1
Adobe Prelude CC 2018;7.0.0;Adobe Systems Incorporated;16/11/2018 12:04;"""C:\Program Files (x86)\Adobe\Adobe Creative Cloud\HDCore\Uninstaller.exe"" --uninstall=1 --sapCode=PRLD --productVersion=7.0.0 --productPlatform=win64 --productAdobeCode={PRLD-7.0.0-64-ADBEADBEADBEADBEADBEAD} --productName=""Prelude CC"" --mode=0";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\PRLD_7_0_0
Adobe Premiere Pro CC 2018;12.0.0;Adobe Systems Incorporated;16/11/2018 12:04;"""C:\Program Files (x86)\Adobe\Adobe Creative Cloud\HDCore\Uninstaller.exe"" --uninstall=1 --sapCode=PPRO --productVersion=12.0.0 --productPlatform=win64 --productAdobeCode={PPRO-12.0.0-64-ADBEADBEADBEADBEADBEA} --productName=""Premiere Pro CC"" --mode=0";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\PPRO_12_0_0
Adobe SpeedGrade CC 2015;9.1.0;Adobe Systems Incorporated;16/11/2018 12:06;"""C:\Program Files (x86)\Common Files\Adobe\OOBE\PDApp\core\PDApp.exe"" --appletID=""DWA_UI"" --appletVersion=""2.0"" --mode=""Uninstall"" --mediaSignature=""{8FD7F1DB-7355-469E-A3F2-2118148D8477}""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{8FD7F1DB-7355-469E-A3F2-2118148D8477}
Agent d'administration de Kaspersky Security Center 10;10.5.1781;AO Kaspersky Lab;28/09/2018 10:48;"MsiExec.exe /qn /norestart /X{2924BEDA-E0D7-4DAF-A224-50D2E0B12F5B} /l*v ""C:\windows\Temp\$klnagent-uninstall.log""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\InstallWIX_{2924BEDA-E0D7-4DAF-A224-50D2E0B12F5B}
AutoIt v3.3.14.5;3.3.14.5;AutoIt Team;02/10/2018 17:06;"""C:\Program Files (x86)\AutoIt3\Uninstall.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\AutoItv3
Backup and Sync from Google;3.43.2448.9071;Google, Inc.;08/01/2019 14:17;MsiExec.exe /qn /norestart /X{693CADB0-962B-4AC1-A939-9524B258C997};HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{693CADB0-962B-4AC1-A939-9524B258C997}
Battle.net;;Blizzard Entertainment;23/01/2019 21:32;"""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=enGB --uid=battle.net --displayname=""Battle.net""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Battle.net
Bomgar Jump Client 18.1.3 [assistance.u-ga.fr] [5BADEBB3];18.1.3;Bomgar;28/09/2018 10:52;"""C:\ProgramData\bomgar-scc-0x5badebb2\bomgar-scc.exe"" -pinned win32uninstall /no-spinner";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Bomgar Jump Client [assistance.u-ga.fr-5BADEBB3]
