Name;Version;Publisher;Install Date & Time;Uninstall;Registry Hive;Registry Path
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660;12.0.40660.0;Microsoft Corporation;15/03/2019 15:54;"""C:\ProgramData\Package Cache\{ef6b00ec-13e1-4c25-9064-b2f383cb8412}\vcredist_x64.exe"" /uninstall /quiet";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{ef6b00ec-13e1-4c25-9064-b2f383cb8412}
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501;12.0.30501.0;Microsoft Corporation;19/12/2018 16:26;"""C:\ProgramData\Package Cache\{f65db027-aff3-4070-886a-0d87064aabb1}\vcredist_x86.exe"" /uninstall /quiet";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{f65db027-aff3-4070-886a-0d87064aabb1}
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660;12.0.40660.0;Microsoft Corporation;15/03/2019 15:54;"""C:\ProgramData\Package Cache\{61087a79-ac85-455c-934d-1fa22cc64f36}\vcredist_x86.exe"" /uninstall /quiet";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{61087a79-ac85-455c-934d-1fa22cc64f36}
Microsoft Visual C++ 2017 Redistributable (x64) - 14.15.26706;14.15.26706.0;Microsoft Corporation;15/03/2019 15:55;"""C:\ProgramData\Package Cache\{95ac1cfa-f4fb-4d1b-8912-7f9d5fbb140d}\VC_redist.x64.exe"" /uninstall /quiet";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{95ac1cfa-f4fb-4d1b-8912-7f9d5fbb140d}
Microsoft Visual C++ 2017 Redistributable (x86) - 14.15.26706;14.15.26706.0;Microsoft Corporation;15/03/2019 15:54;"""C:\ProgramData\Package Cache\{7e9fae12-5bbf-47fb-b944-09c49e75c061}\VC_redist.x86.exe"" /uninstall /quiet";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{7e9fae12-5bbf-47fb-b944-09c49e75c061}
Mozilla Firefox 60.5.2 ESR (x64 fr);60.5.2;Mozilla;05/03/2019 17:14;"""C:\Program Files\Mozilla Firefox\uninstall\helper.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Mozilla Firefox 60.5.2 ESR (x64 fr)
Mozilla Maintenance Service;60.5.2.6991;Mozilla;05/03/2019 17:14;"""C:\Program Files (x86)\Mozilla Maintenance Service\uninstall.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\MozillaMaintenanceService
MTG Arena;0.1.964.0;Wizards of the Coast;14/12/2018 10:32;MsiExec.exe /qn /norestart /X {B418249C-5F1D-4E3B-8ABC-4081B2B6AFEE} AI_UNINSTALLER_CTP=1;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\MTG Arena 0.1.964.0
Mumble 1.2.19;1.2.19;Thorvald Natvig;04/02/2019 11:49;MsiExec.exe /qn /norestart /X{9BCF5203-72BB-4425-A391-83BF298EF376};HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{9BCF5203-72BB-4425-A391-83BF298EF376}
Nextcloud;2.5.0.61560;Nextcloud GmbH;03/12/2018 16:46;"""C:\Program Files (x86)\Nextcloud\Uninstall.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Nextcloud
Notepad++ (64-bit x64);7.5.8;Notepad++ Team;28/09/2018 10:40;"""C:\Program Files\Notepad++\uninstall.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Notepad++
Nox APP Player;6.2.0.0;Duodian Technology Co. Ltd.;18/10/2018 13:37;"""C:\Program Files (x86)\Nox\bin\Nox_unload.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Nox
PDFCreator;3.2.0;pdfforge GmbH;28/09/2018 10:35;"""C:\Program Files\PDFCreator\unins000.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{0001B4FD-9EA3-4D90-A79E-FD14BA3AB01D}
PuTTY release 0.70 (64-bit);0.70.0.0;Simon Tatham;13/12/2018 15:12;MsiExec.exe /qn /norestart /X{45B3032F-22CC-40CD-9E97-4DA7095FA5A2};HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{45B3032F-22CC-40CD-9E97-4DA7095FA5A2}
Realtek Audio COM Components;1.0.2;Realtek Semiconductor Corp.;28/09/2018 11:00;MsiExec.exe /qn /norestart /X{2355B503-9B11-4449-861D-1C1748B26320};HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{2355B503-9B11-4449-861D-1C1748B26320}
Realtek Card Reader;10.0.14393.21292;Realtek Semiconductor Corp.;28/09/2018 11:00;"""C:\windows\RtCRU64.exe"" /u";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{5BC2B5AB-80DE-4E83-B8CF-426902051D0A}
Realtek High Definition Audio Driver;6.0.1.8059;Realtek Semiconductor Corp.;28/09/2018 11:00;"""C:\Program Files\Realtek\Audio\HDA\RtlUpd64.exe"" -r -m -nrg2709";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{F132AF7F-7BCA-4EDE-8A7C-958108FE7DBC}
Realtek USB Audio;6.3.9600.85;Realtek Semiconductor Corp.;28/09/2018 11:01;"""C:\windows\system32\rundll32.exe"" RtSetupAPI64.dll RealtekUSBAudioInstaller -r -m";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{0A46A65D-89AC-464C-8026-3CD44960BD04}
Robocraft;;Freejam;13/03/2019 13:00;"""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/301520";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Steam App 301520
SAP GUI for Windows 7.50  (Patch 3);7.50 Compilation 1;SAP SE;10/01/2019 16:52;"""C:\Program Files (x86)\SAP\SAPsetup\setup\NwSapSetup.exe"" /uninstall /product=""SCRIPTED+SCE+ECL+SAPDTS+KW+GUIISHMED+JNet+NWBCGUI+SAPGUI"" /TitleComponent:""SAPGUI"" /IgnoreMissingProducts";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\SAPGUI
Skype version 8.40;8.40;Skype Technologies S.A.;05/03/2019 14:19;"""C:\Program Files (x86)\Microsoft\Skype for Desktop\unins000.exe"" /SILENT";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Skype_is1
SphinxIQ2;7.3.3.4;Le Sphinx Développement;28/11/2018 14:24;MsiExec.exe /qn /norestart /X{D3204228-DB21-457A-B0A0-F9DCB78903F6};HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{D3204228-DB21-457A-B0A0-F9DCB78903F6}
Steam;2.10.91.91;Valve Corporation;31/10/2018 09:26;"""C:\Program Files (x86)\Steam\uninstall.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Steam
TKD_7zip_18.05;1;;28/09/2018 10:34;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_7zip_18.05
TKD_AdobeReader;1;;12/11/2018 14:12;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_AdobeReader
TKD_AdobeReader_DC;1;;28/09/2018 10:36;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_AdobeReader_DC
TKD_bomgar-console;1;;28/09/2018 10:33;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_bomgar-console
TKD_CopieurCanon_V4;1;;28/09/2018 10:40;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_CopieurCanon_V4
TKD_Firefox_5208ESR;1;;28/09/2018 10:35;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_Firefox_5208ESR
TKD_flashplayer_v310108;1;;28/09/2018 10:41;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_flashplayer_v310108
TKD_FWAddPing;1;;28/09/2018 10:41;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_FWAddPing
TKD_FWAddPsexec;1;;28/09/2018 10:41;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_FWAddPsexec
TKD_greenShot_1.2.9.129;1;;28/09/2018 10:37;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_greenShot_1.2.9.129
TKD_jre_18181_peda;1;;28/09/2018 10:47;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_jre_18181_peda
TKD_Kaspersky_11.0.0;1;;28/09/2018 10:50;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_Kaspersky_11.0.0
TKD_LibreOffice_6.0.6_v1;1;;28/09/2018 10:38;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_LibreOffice_6.0.6_v1
TKD_notepad++_7.5.8;1;;28/09/2018 10:41;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_notepad++_7.5.8
TKD_pdfCreator_3.2.0;1;;28/09/2018 10:36;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_pdfCreator_3.2.0
TKD_Silverlight_5.1;1;;28/09/2018 10:41;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_Silverlight_5.1
TKD_vlc_3.0_4;1;;28/09/2018 10:39;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_vlc_3.0_4
TKD_windirstat_1.1.2;1;;28/09/2018 10:41;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD_windirstat_1.1.2
TKD-setup;5.3;;28/09/2018 10:34;;HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\TKD-setup
TurningPoint;8.5.4.5;Turning Technologies;09/10/2018 10:22;MsiExec.exe /qn /norestart /X{268cd4a2-b09d-4e6a-aa80-810dd2c487b5};HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{268cd4a2-b09d-4e6a-aa80-810dd2c487b5}
VLC media player;3.0.4;VideoLAN;28/09/2018 10:39;"""C:\Program Files\VideoLAN\VLC\uninstall.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\VLC media player
Vulkan Run Time Libraries 1.0.33.0;1.0.33.0;LunarG, Inc.;28/09/2018 11:00;"""C:\Program Files (x86)\VulkanRT\1.0.33.0\UninstallVulkanRT.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\VulkanRT1.0.33.0
Wampserver64 3.1.7;3.1.7;Dominique Ottello aka Otomatic;13/02/2019 12:01;"""c:\wamp64\unins000.exe"" /SILENT";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{wampserver64}_is1
WhatsApp;0.3.2386;WhatsApp;11/03/2019 09:01;"""C:\Users\schoderg\AppData\Local\WhatsApp\Update.exe"" --uninstall -s";HKEY_USERS;S-1-5-21-2901163039-3281240111-3707936290-143659\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\WhatsApp
XMind 8 Update 8 (v3.7.8);3.7.8.201807240049;XMind Ltd.;16/11/2018 14:20;"""C:\Program Files (x86)\XMind\unins000.exe"" /SILENT";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\XMind_is1
