Name;Version
Adobe Acrobat Reader DC - Français;19.010.20091
Adobe Acrobat Reader DC - Français;15.010.20060
Adobe Acrobat Reader DC - Français;18.011.20035
Adobe Acrobat Reader DC - Français;15.023.20070
Adobe Acrobat Reader DC - Français;18.011.20063
Adobe Acrobat Reader DC - Français;15.007.20033
Adobe Acrobat Reader DC - Français;18.011.20036
Adobe Acrobat Reader DC - Français;19.008.20081
Adobe Acrobat Reader DC - Français;18.009.20050
Adobe Acrobat Reader DC - Français;18.011.20055
Adobe Acrobat Reader DC - Français;17.012.20093
Adobe Acrobat Reader DC (2015) MUI;15.006.30482
Adobe Acrobat Reader DC (2015) MUI;15.006.30464
Adobe Acrobat Reader DC (2015) MUI;15.006.30457
Adobe Acrobat Reader DC (2015) MUI;15.006.30456
Adobe Acrobat Reader DC MUI;18.011.20040
Adobe Acrobat Reader DC MUI;19.010.20098
Adobe Acrobat X Pro - English, Français, Deutsch;10.0.0
Adobe Acrobat X Pro - English, Français, Deutsch;10.1.16
Adobe Acrobat X Pro - English, Français, Deutsch;10.1.1
Adobe Acrobat XI Pro;11.0.00
Adobe Acrobat XI Pro;11.0.23
Adobe Acrobat XI Pro;11.0.22
Adobe Acrobat XI Pro;11.0.20
Adobe Acrobat XI Pro;11.0.19
Adobe Acrobat XI Pro;11.0.17
Adobe After Effects CC 2014;13.2.0
Adobe After Effects CC 2015;13.7.1
Adobe After Effects CC 2017;14.1.0
Adobe After Effects CC 2017;14.2.2
Adobe After Effects CC 2017;14.2.1
Adobe After Effects CC 2018;15.0.0
Adobe After Effects CC 2018;15.1.2
Adobe After Effects CC 2018;15.0.1
Adobe After Effects CC 2018;15.1.1
Adobe After Effects CC 2019;16.0
Adobe After Effects CC 2019;16.0.1
Adobe AIR;3.1.0.4880
Adobe AIR;16.0.0.273
Adobe AIR;2.5.1.17730
Adobe AIR;29.0.0.112
Adobe AIR;1.5.3.9120
Adobe AIR;28.0.0.127
Adobe AIR;26.0.0.127
Adobe AIR;32.0.0.89
Adobe AIR;1.1.0.5790
Adobe AIR;30.0.0.107
Adobe Animate CC 2017;16.1
Adobe Animate CC 2017;16.5.1
Adobe Animate CC 2018;18.0
Adobe Animate CC 2018;18.0.2
Adobe Animate CC 2018;18.0.1
Adobe Animate CC 2019;19.1
Adobe Animate CC 2019;19.0
Adobe Audition CC;6.0
Adobe Audition CC 2017;10.0.2
Adobe Audition CC 2017;10.1.1
Adobe Audition CC 2018;11.0.0
Adobe Audition CC 2018;11.1.1
Adobe Audition CC 2018;11.0.2
Adobe Audition CC 2019;12.0
Adobe Audition CC 2019;12.0.1
Adobe Bridge CC 2017;7.0
Adobe Bridge CC 2018;8.0
Adobe Bridge CC 2018;8.1
Adobe Bridge CC 2018;8.0.1
Adobe Bridge CC 2019;9.0.2
Adobe Bridge CC 2019;9.0.1
Adobe Character Animator CC (Beta);1.0.5
Adobe Character Animator CC (Beta);1.0.6
Adobe Character Animator CC 2018;1.1.0
Adobe Character Animator CC 2018;1.5.0
Adobe Character Animator CC 2018;1.1.1
Adobe Character Animator CC 2019;2.0
Adobe Character Animator CC 2019;2.0.1
Adobe Community Help;3.4.980
Adobe Community Help;3.0.0.400
Adobe Connect;2018.7.10.32
Adobe Connect;11.9.985.57
Adobe Connect;11.9.982.478
Adobe Connect;2019.1.2.32
Adobe Connect 9 Add-in;11,9,976,291
Adobe Connect 9 Add-in;11.9.980.387
Adobe Connect 9 Add-in;11,9,979,355
Adobe Connect Add-in;
Adobe Content Viewer;1.4.0
Adobe Creative Cloud;4.6.0.384
Adobe Creative Cloud;4.3.0.256
Adobe Creative Cloud;4.7.0.400
Adobe Creative Cloud;4.4.1.298
Adobe Creative Cloud;4.8.0.421
Adobe Creative Cloud;3.9.0.327
Adobe Creative Cloud;4.8.1.435
Adobe Creative Cloud;4.5.0.331
Adobe Creative Cloud;4.4.0.294
Adobe Creative Suite 2;
Adobe Creative Suite 4 Design Standard;4.0
Adobe Creative Suite 5 Design Standard;5.0
Adobe Creative Suite 5 Master Collection;5.0
Adobe Creative Suite 5.5 Design Premium;5.5
Adobe Creative Suite 5.5 Design Standard;5.5
Adobe Creative Suite 6 Design Standard;6
Adobe Creative Suite 6 Master Collection;6
Adobe Creative Suite 6 Production Premium;6
Adobe CS6 Design and Web Premium;6
Adobe Digital Editions 4.0;4.0.3
Adobe Digital Editions 4.5;4.5.5
Adobe Digital Editions 4.5;4.5.10
Adobe Digital Editions 4.5;4.5.8
Adobe Digital Editions 4.5;4.5.7
Adobe Dimension CC;2.0
Adobe Dimension CC;2.1
Adobe Dreamweaver CC 2017;17.0.1
Adobe Dreamweaver CC 2017;17.5.0
Adobe Dreamweaver CC 2018;18.0
Adobe Dreamweaver CC 2018;18.2
Adobe Dreamweaver CC 2019;19.0.1
Adobe Dreamweaver CC 2019;19.0
Adobe ExtendScript Toolkit CC;4.0.0.0
Adobe Extension Manager CC;7.3.2
Adobe Extension Manager CC;7.0
Adobe Extension Manager CS6;6.0.8
Adobe Fireworks CS6;12.0.1
Adobe Fireworks CS6;12.0.0
Adobe Flash Builder 4.7 (64 bits);4.7
Adobe Flash CS4 Professional;10.0
Adobe Flash Player 10 ActiveX;10.0.12.36
Adobe Flash Player 16 ActiveX;16.0.0.235
Adobe Flash Player 17 ActiveX;17.0.0.188
Adobe Flash Player 17 NPAPI;17.0.0.188
Adobe Flash Player 18 NPAPI;18.0.0.232
Adobe Flash Player 20 NPAPI;20.0.0.286
Adobe Flash Player 22 ActiveX;22.0.0.192
Adobe Flash Player 22 NPAPI;22.0.0.192
Adobe Flash Player 22 NPAPI;22.0.0.209
Adobe Flash Player 23 ActiveX;23.0.0.207
Adobe Flash Player 23 NPAPI;23.0.0.207
Adobe Flash Player 23 NPAPI;23.0.0.162
Adobe Flash Player 24 ActiveX;24.0.0.221
Adobe Flash Player 24 ActiveX;24.0.0.194
Adobe Flash Player 24 NPAPI;24.0.0.221
Adobe Flash Player 25 ActiveX;25.0.0.148
Adobe Flash Player 25 ActiveX;25.0.0.127
Adobe Flash Player 25 ActiveX;25.0.0.171
Adobe Flash Player 25 NPAPI;25.0.0.148
Adobe Flash Player 25 NPAPI;25.0.0.127
Adobe Flash Player 25 NPAPI;25.0.0.171
Adobe Flash Player 26 ActiveX;26.0.0.131
Adobe Flash Player 26 ActiveX;26.0.0.151
Adobe Flash Player 26 NPAPI;26.0.0.151
Adobe Flash Player 26 NPAPI;26.0.0.131
Adobe Flash Player 27 ActiveX;27.0.0.187
Adobe Flash Player 27 ActiveX;27.0.0.183
Adobe Flash Player 27 ActiveX;27.0.0.130
Adobe Flash Player 27 NPAPI;27.0.0.187
Adobe Flash Player 27 NPAPI;27.0.0.183
Adobe Flash Player 27 NPAPI;27.0.0.130
Adobe Flash Player 27 NPAPI;27.0.0.170
Adobe Flash Player 27 NPAPI;27.0.0.159
Adobe Flash Player 28 ActiveX;28.0.0.137
Adobe Flash Player 28 ActiveX;28.0.0.126
Adobe Flash Player 28 ActiveX;28.0.0.161
Adobe Flash Player 28 NPAPI;28.0.0.137
Adobe Flash Player 28 NPAPI;28.0.0.126
Adobe Flash Player 28 NPAPI;28.0.0.161
Adobe Flash Player 28 PPAPI;28.0.0.161
Adobe Flash Player 29 ActiveX;29.0.0.171
Adobe Flash Player 29 ActiveX;29.0.0.113
Adobe Flash Player 29 ActiveX;29.0.0.140
Adobe Flash Player 29 NPAPI;29.0.0.171
Adobe Flash Player 29 NPAPI;29.0.0.113
Adobe Flash Player 29 NPAPI;29.0.0.140
Adobe Flash Player 29 PPAPI;29.0.0.140
Adobe Flash Player 30 ActiveX;30.0.0.113
Adobe Flash Player 30 ActiveX;30.0.0.134
Adobe Flash Player 30 ActiveX;30.0.0.154
Adobe Flash Player 30 NPAPI;30.0.0.113
Adobe Flash Player 30 NPAPI;30.0.0.134
Adobe Flash Player 30 NPAPI;30.0.0.154
Adobe Flash Player 30 PPAPI;30.0.0.113
Adobe Flash Player 30 PPAPI;30.0.0.134
Adobe Flash Player 31 ActiveX;31.0.0.153
Adobe Flash Player 31 ActiveX;31.0.0.148
Adobe Flash Player 31 ActiveX;31.0.0.122
Adobe Flash Player 31 ActiveX;31.0.0.108
Adobe Flash Player 31 NPAPI;31.0.0.153
Adobe Flash Player 31 NPAPI;31.0.0.148
Adobe Flash Player 31 NPAPI;31.0.0.122
Adobe Flash Player 31 NPAPI;31.0.0.108
Adobe Flash Player 31 PPAPI;31.0.0.108
Adobe Flash Player 32 ActiveX;32.0.0.156
Adobe Flash Player 32 ActiveX;32.0.0.101
Adobe Flash Player 32 ActiveX;32.0.0.142
Adobe Flash Player 32 ActiveX;32.0.0.114
Adobe Flash Player 32 NPAPI;32.0.0.114
Adobe Flash Player 32 NPAPI;32.0.0.156
Adobe Flash Player 32 NPAPI;32.0.0.101
Adobe Flash Player 32 NPAPI;32.0.0.142
Adobe Flash Player 32 PPAPI;32.0.0.156
Adobe Flash Player 32 PPAPI;32.0.0.142
Adobe Flash Player 9 ActiveX;9.0.45.0
Adobe Flash Player ActiveX;9.0.124.0
Adobe Flash Professional CC 2015;15.0
Adobe Help Manager;4.0.244
Adobe Illustrator CC 2017;21.0.2
Adobe Illustrator CC 2017;21.1.0
Adobe Illustrator CC 2018;22.1
Adobe Illustrator CC 2018;22.0.1
Adobe Illustrator CC 2019;23.0
Adobe Illustrator CC 2019;23.0.1
Adobe Illustrator CC 2019;23.0.2
Adobe Illustrator CS;11
Adobe InCopy CC 2017;12.0
Adobe InCopy CC 2018;13.0.1
Adobe InCopy CC 2018;13.1
Adobe InCopy CC 2019;14.0
Adobe InDesign CC 2017;12.0
Adobe InDesign CC 2017;12.1.0
Adobe InDesign CC 2018;13.1
Adobe InDesign CC 2018;13.0.1
Adobe InDesign CC 2019;14.0
Adobe InDesign CC 2019;14.0.1
